masked_words|abs_decrease_on_replacement
typical|0.07090595128954885
grinch|0.07087945651143891
tv|0.0708587164660679
latino|0.07068278882972541
notebook|0.07055670989094216
privilege|0.07054893058702051
easily|0.07047879224967941
souther|0.07044379300645263
gay|0.07037770359673043
slaughtering|0.07029883121177478
kills|0.07022135718472347
encourages|0.07008342283831762
gays|0.06981695157804436
pot|0.06976721355195614
badly|0.06974158930463119
capital|0.06973484325659031
boat|0.06946502835699798
warning|0.06931511544689486
groping|0.0690306211939
head|0.06902412858261414
bucket|0.06856040984459512
vallerie|0.06856023587761144
gaping|0.06844501432397825
reference|0.06833077951995967
farms|0.06827043842673744
violently|0.06799893602159243
hateful|0.06796360368046579
predated|0.06787660252237308
marry|0.0677400968295895
bitter|0.06769313542891334
physically|0.06767508870280066
votes|0.0676220315985769
expenses|0.06752950077306127
posts|0.06736793739817608
socialists|0.06714040882409364
swaths|0.06709547243671374
transition|0.06695921468948882
spam|0.06695484418601325
releases|0.06691125940445428
eventually|0.06690996100238976
blamed|0.0668325120851497
knee|0.06680105435132573
im|0.0666521454909257
brianne|0.06653151203120526
killed|0.0665072043710194
queen|0.06649599090010203
pandering|0.06636883179726277
capable|0.06616439304391994
access|0.06616349973775795
propaganda|0.06614042258773357
preferences|0.06610956242715549
moment|0.06604571175577596
carter|0.06566303484755658
neke|0.06545936332384746
yeah|0.0652134089671607
attempt|0.06517712980097831
hit|0.06510468960042823
directed|0.06487615029616882
orange|0.06459784534970218
spay|0.06431179595607996
fu_kin|0.06425850793269292
value|0.06408623399299249
opinions|0.06397859372329869
2020|0.06388578757272452
ms|0.06372792771716969
worst|0.06368159189485825
fraud|0.06358440368403696
picked|0.0635572554839611
forcing|0.06348919642346555
drama|0.06342824507817588
rays|0.06303462647583201
presence|0.06290690299849405
inestimable|0.06285820017236594
quickly|0.06284463188942174
decide|0.06279214636246885
situation|0.0627898874541659
wisdom|0.06270552342463942
dumber|0.06259661835354133
charter|0.06256687664812746
dig|0.06254380183028518
sea|0.06215350613674776
figure|0.0621237118542118
scores|0.06189090046881831
finances|0.061885091250388116
worse|0.06172969811126398
duty|0.06159477965445307
fort|0.06158130587191479
long|0.06150994938116121
equal|0.061432431407873134
patrol|0.061360974578463255
refers|0.06129551854279045
stayed|0.06119374259263122
opporiturity|0.061160091554957254
enforcement|0.06108644307563414
mowing|0.06108064299594155
monkeys|0.060885359380244884
considered|0.06080271936430959
matters|0.060688216641347895
tragic|0.06066342458290412
numb|0.06048804038790821
civilize|0.06041989205802014
forever|0.0603232330968634
leading|0.06027230589470749
contends|0.06026461953594346
rantings|0.060164207689853956
everywhere|0.06006358235550611
uncle|0.059931519174401544
travesty|0.05991095670305742
sigh|0.05990394710201523
wasnt|0.059888505281110484
bullets|0.05986529039764967
confirming|0.05985717679612992
quick|0.05978079117885472
banana|0.05975690292099672
probably|0.05974258944825115
struggle|0.05963625525803963
origin|0.059612420620889874
conduct|0.05957624111191059
reminds|0.05956325348257757
erasure|0.05950709993345897
wwii|0.05943152019116884
hs|0.05938799638988698
accuses|0.059371912280764716
jews|0.05930325604442446
ordered|0.05916916487626457
lying|0.05915644220638313
serve|0.05902586647770614
